symbol,askPrice,askSize,avgTotalVolume,bidPrice,bidSize,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,,,2213940,,,close,-0.48,-0.006920000000000001,68.85,1536955252673,Agilent Technologies Inc.,68.85,1536955252673,0,0,68.85,1536955836809,69.41,,,,,,,,,,68.85,Close,"September 14, 2018",1536955252673,1436033,68.56,21947283311,69.28,1536931801002,26.79,69.33,New York Stock Exchange,Healthcare,75,60.42,0.016308855499576003
AA,,,3583531,,,close,1.02,0.02442,42.79,1536955344136,Alcoa Corporation,42.79,1536955344136,0,0,42.79,1536957987993,42.91,,,,,,,,,,42.79,Close,"September 14, 2018",1536955344136,2716984,41.81,7979181382,41.81,1536931801003,10.57,41.77,New York Stock Exchange,Basic Materials,62.35,40.03,-0.19997731738263502
AAAU,,,106874,,,close,-0.08,-0.00666,11.93,1536955200150,Perth Mint Physical Gold,11.935,1536955800000,0.18,0.015090000000000001,12.11,1536844801780,12.01,,,,,,,,,,11.93,Close,"September 14, 2018",1536955200150,13650,11.93,1193000,12.01,1536933634906,,12.01,NYSE Arca,,12.13,11.7394,0.009523986371379
AABA,,,12636684,,,close,-0.23,-0.00338,67.75,1536955200285,Altaba Inc.,67.75,1536955200285,0,0,67.75,1536957672000,68.7,,,,,,,,,,67.75,Close,"September 14, 2018",1536955200285,5012167,67.33,41023180279,68.47,1536931800139,,67.98,Nasdaq Global Select,Financial Services,82.45,62.802,-0.076947619308081
AAC,,,214701,,,close,-0.17,-0.02261,7.35,1536955322071,AAC Holdings Inc.,7.35,1536955322071,0,0,7.35,1536956897984,7.72,,,,,,,,,,7.35,Close,"September 14, 2018",1536955322071,157770,7.32,180785561,7.57,1536931932005,16.7,7.52,New York Stock Exchange,Healthcare,12.96,7.07,-0.22972974110032301
AADR,,,44052,,,close,0.2,0.003920000000000001,51.17,1536955200219,AdvisorShares Dorsey Wright ADR,51.17,1536955800001,-1.1,-0.021500000000000002,50.07,1536759000199,51.429,,,,,,,,,,51.17,Close,"September 14, 2018",1536955200219,17898,50.98,189329000,51.03,1536931800072,,50.97,NYSE Arca,,64,47.31,-0.14294664810458302
AAL,,,5545701,,,close,0.26,0.00659,39.74,1536955200409,American Airlines Group Inc.,39.74,1536955200409,0,0,39.74,1536957677000,39.97,,,,,,,,,,39.74,Close,"September 14, 2018",1536955200409,2882581,39.32,18300636244,39.54,1536931800812,8.37,39.48,Nasdaq Global Select,Industrials,59.08,35.64,-0.23829291314823303
AAMC,,,640,,,close,-0.449,-0.007280000000000001,61.251,1536955200052,Altisource Asset Management Corp Com,61.251,1536955800003,3.549,0.057940000000000005,64.8,1534536327737,62.8,,,,,,,,,,61.251,Close,"September 14, 2018",1536955200052,1091,58.15,98814278,59.5,1536940336326,,61.7,NYSE American,Financial Services,103.2,55,-0.221507068633739
AAME,,,3097,,,close,-0.1,-0.033330000000000005,2.9,1536955200407,Atlantic American Corporation,2.925,1536955200407,0.05,0.017240000000000002,2.95,1536584350673,3,,,,,,,,,,2.9,Close,"September 14, 2018",1536955200407,3061,2.6,58723501,2.75,1536931800483,,3,NASDAQ Global Market,Financial Services,4,2.2,-0.135524978483638
AAN,,,459682,,,close,0.9500000000000001,0.01853,52.23,1536955322072,Aaron's Inc.,52.23,1536955322072,0,0,52.23,1536956898012,52.44,,,,,,,,,,52.23,Close,"September 14, 2018",1536955322072,417189,51.23,3790764661,51.23,1536931801002,19.13,51.28,New York Stock Exchange,Industrials,52.7,34.29,0.343559174488812
AAOI,,,1310654,,,close,0.4,0.011840000000000002,34.19,1536955200257,Applied Optoelectronics Inc.,34.19,1536955200257,0,0,34.19,1536957680000,35.51,,,,,,,,,,34.19,Close,"September 14, 2018",1536955200257,1408215,34.03,673474483,35,1536931800722,13.84,33.79,NASDAQ Global Market,Technology,71.29,22.54,-0.086287143233975
AAON,,,166893,,,close,0.30000000000000004,0.007520000000000001,40.2,1536955200168,AAON Inc.,40.15,1536955200172,0,0,40.2,1536956898078,40.4,,,,,,,,,,40.2,Close,"September 14, 2018",1536955200168,127387,39.6,2101043553,39.9,1536931800427,50.25,39.9,Nasdaq Global Select,Basic Materials,43.3,29.05,0.100844195101254
AAP,,,1072830,,,close,-1.28,-0.007680000000000001,165.45,1536955320781,Advance Auto Parts Inc W/I,165.45,1536955320781,0,0,165.45,1536957665000,167.92,,,,,,,,,,165.45,Close,"September 14, 2018",1536955320781,991158,165.19,12256744136,166.95,1536931801005,26.39,166.73,New York Stock Exchange,Consumer Cyclical,170.91,78.81,0.5533310483163341
AAPL,,,30028730,,,close,-2.5700000000000003,-0.01135,223.84,1536955200321,Apple Inc.,223.84,1536955200321,-0.02,-9e-05,223.82,1536958779092,226.84,,,,,,,,,,223.84,Close,"September 14, 2018",1536955200321,31920851,222.522,1081130635840,225.5,1536931800569,21.61,226.41,Nasdaq Global Select,Technology,229.67,149.16,0.30300396191051004
AAT,,,166962,,,close,-0.78,-0.01997,38.28,1536955323015,American Assets Trust Inc.,38.28,1536955323015,0,0,38.28,1536956898114,38.93,,,,,,,,,,38.28,Close,"September 14, 2018",1536955323015,236446,37.89,1807662792,38.93,1536931801019,18.49,39.06,New York Stock Exchange,Real Estate,41.69,30.62,0.005852426600636
