,date,iexId,isEnabled,name,symbol,type
7450,2018-09-18,11548,True,Syros Pharmaceuticals Inc.,SYRS,cs
7451,2018-09-18,8197,True,SPDR MFS Systematic Value Equity,SYV,N/A
7452,2018-09-18,6643,True,Systemax Inc.,SYX,cs
7453,2018-09-18,6644,True,Sysco Corporation,SYY,cs
7454,2018-09-18,6645,True,Cushing Renaissance Fund (The) of Beneficial Interest,SZC,cs
7455,2018-09-18,6646,True,ProShares UltraShort Consumer Goods,SZK,et
7456,2018-09-18,14861,True,Pacer CFRA-Stovall Equal Weight Seasonal Rotation,SZNE,N/A
7457,2018-09-18,6647,True,DB Crude Oil Short ETN due June 1 2038,SZO,et
7458,2018-09-18,6649,True,AT&T Inc.,T,cs
7459,2018-09-18,6650,True,TravelCenters of America LLC,TA,cs
7460,2018-09-18,6651,True,TransAlta Corporation,TAC,cs
7461,2018-09-18,8189,True,Del Taco Restaurants Inc.,TACO,cs
7462,2018-09-18,8190,True,Del Taco Restaurants Inc. Warrants,TACOW,N/A
7463,2018-09-18,6652,True,TransAct Technologies Incorporated,TACT,cs
7464,2018-09-18,6653,True,Teucrium Agricultural Fund ETV,TAGS,et
7465,2018-09-18,6654,True,Tahoe Resources Inc. (Canada),TAHO,cs
7466,2018-09-18,12763,True,Cambria Tail Risk,TAIL,N/A
7467,2018-09-18,6656,True,Taitron Components Incorporated,TAIT,cs
7468,2018-09-18,7624,True,TAL Education Group American Depositary Shares,TAL,cs
7469,2018-09-18,13990,True,Talos Energy Inc.,TALO,cs
7470,2018-09-18,14538,True,Talos Energy Inc. Warrants,TALO+,N/A
7471,2018-09-18,14661,True,Invesco Solar,TAN,et
7472,2018-09-18,9282,True,Tantech Holdings Ltd.,TANH,cs
7473,2018-09-18,6660,True,TravelCenters of America LLC 8.25% Senior Notes due 2028,TANNI,N/A
7474,2018-09-18,9572,True,,TANNL,N/A
7475,2018-09-18,10688,True,,TANNZ,N/A
7476,2018-09-18,14422,True,Invesco China Real Estate,TAO,et
7477,2018-09-18,1354,True,Taoping Inc.,TAOP,cs
7478,2018-09-18,6663,True,Molson Coors Brewing Company Class B,TAP,cs
7479,2018-09-18,6664,True,Molson Coors Brewing Company Class A,TAP.A,cs
7480,2018-09-18,8898,True,Barclays Inverse US Treasury Composite ETN,TAPR,N/A
7481,2018-09-18,6665,True,Taro Pharmaceutical Industries Ltd.,TARO,cs
7482,2018-09-18,6668,True,Carrols Restaurant Group Inc.,TAST,cs
7483,2018-09-18,6669,True,TransAtlantic Petroleum Ltd (Bermuda),TAT,cs
7484,2018-09-18,6670,True,TAT Technologies Ltd.,TATT,cs
7485,2018-09-18,15013,False,American Century Diversified Municipal Bond,TAXF,N/A
7486,2018-09-18,6676,True,Taylor Devices Inc.,TAYD,cs
7487,2018-09-18,13730,True,AT&T Inc. 5.350% Global Notes due 2066,TBB,N/A
7488,2018-09-18,6679,True,The Bancorp Inc.,TBBK,cs
7489,2018-09-18,14910,True,,TBC,N/A
7490,2018-09-18,6680,True,ProShares Short 20+ Year Treasury,TBF,et
7491,2018-09-18,6681,True,TrueBlue Inc.,TBI,cs
7492,2018-09-18,14704,True,Translate Bio Inc.,TBIO,cs
7493,2018-09-18,9291,True,Triumph Bancorp Inc.,TBK,cs
7494,2018-09-18,12383,True,Tortoise Global Water ESG Fund,TBLU,N/A
7495,2018-09-18,6682,True,Territorial Bancorp Inc.,TBNK,cs
7496,2018-09-18,8633,True,Theravance Biopharma Inc.,TBPH,cs
7497,2018-09-18,14830,True,Thunder Bridge Acquisition Ltd.,TBRG,cs
