symbol,askPrice,askSize,avgTotalVolume,bidPrice,bidSize,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,,,2203986,,,close,-0.41000000000000003,-0.00576,70.72,1537560096414,Agilent Technologies Inc.,70.72,1537560096414,0.091,0.0012900000000000001,70.811,1537561570711,71.46,,,,,,,,,,70.72,Close,"September 21, 2018",1537560096414,3197747,70.56,22543382364,71.37,1537536878733,27.52,71.13,New York Stock Exchange,Healthcare,75,60.42,0.045260256513145004
AA,,,3575086,,,close,0.86,0.020030000000000003,43.79,1537560036521,Alcoa Corporation,43.79,1537560036521,-0.152,-0.0034700000000000004,43.638,1537562378284,44,,,,,,,,,,43.79,Close,"September 21, 2018",1537560036521,4847875,42.92,8165654422,43.36,1537536601003,10.81,42.93,New York Stock Exchange,Basic Materials,62.35,40.03,-0.186241524379191
AAAU,,,181662,,,close,-0.07150000000000001,-0.00593,11.9885,1537560000170,Perth Mint Physical Gold,11.985,1537560600000,-0.018500000000000003,-0.0015400000000000001,11.97,1537534959182,12,,,,,,,,,,11.9885,Close,"September 21, 2018",1537560000170,2971,11.97,1198850,11.93,1537536600116,,12.06,NYSE Arca,,12.13,11.7394,0.015236950596252002
AABA,,,9535096,,,close,-0.42,-0.0061400000000000005,67.93,1537560000317,Altaba Inc.,67.93,1537560000317,-0.03,-0.00044,67.9,1537562662666,69.36,,,,,,,,,,67.93,Close,"September 21, 2018",1537560000317,6306631,67.74,41132171754,69.11,1537536600666,,68.35,Nasdaq Global Select,Financial Services,82.45,62.802,-0.07724624914535701
AAC,,,216095,,,close,0.24,0.03352,7.4,1537560121164,AAC Holdings Inc.,7.4,1537560121164,0,0,7.4,1537562464914,7.46,,,,,,,,,,7.4,Close,"September 21, 2018",1537560121164,271475,7.09,182015395,7.16,1537536601005,16.82,7.16,New York Stock Exchange,Healthcare,12.96,6.72,-0.168205997842502
AADR,,,44251,,,close,0.21,0.004030000000000001,52.36,1537560000229,AdvisorShares Dorsey Wright ADR,52.36,1537560600001,-2.29,-0.04374,50.07,1536759000199,52.66,,,,,,,,,,52.36,Close,"September 21, 2018",1537560000229,23528,52.3,191114000,52.3,1537536600105,,52.15,NYSE Arca,,64,47.31,-0.12299633759538701
AAL,,,6022016,,,close,1.71,0.04082,43.6,1537560000490,American Airlines Group Inc.,43.6,1537560000490,-0.26,-0.005960000000000001,43.34,1537563159833,43.89,,,,,,,,,,43.6,Close,"September 21, 2018",1537560000490,10726793,41.99,20078201818,42.04,1537536600232,9.18,41.89,Nasdaq Global Select,Industrials,59.08,35.64,-0.13071736822503702
AAMC,,,631,,,close,-1.1825,-0.019420000000000003,59.7,1537560000080,Altisource Asset Management Corp Com,59.7,1537560600001,5.1,0.08543,64.8,1534536327737,61.9,,,,,,,,,,59.7,Close,"September 21, 2018",1537560000080,1479,59.7,96312100,61.65,1537536600040,,60.8825,NYSE American,Financial Services,93.8,55,-0.25354443874278304
AAME,,,4215,,,close,-0.15,-0.05455,2.6,1537560000331,Atlantic American Corporation,2.6,1537560000331,0.132,0.05077,2.732,1537536562143,2.7,,,,,,,,,,2.6,Close,"September 21, 2018",1537560000331,9933,2.35,52648656,2.7,1537536600641,,2.75,NASDAQ Global Market,Financial Services,4,2.2,-0.24962136001981303
AAN,,,529447,,,close,2.37,0.04465,55.45,1537560452443,Aaron's Inc.,55.45,1537560452443,0,0,55.45,1537562464963,55.64,,,,,,,,,,55.45,Close,"September 21, 2018",1537560452443,2310763,53.41,4024466790,53.41,1537536601008,20.31,53.08,New York Stock Exchange,Industrials,55.64,34.29,0.452171163584673
